symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,price-binned,diesel,gas,std,turbo
3,97.6,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.31666666666666643,-2.0154834331087095,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,13495.0,low,0,1,1,0
3,97.6,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.31666666666666643,-2.0154834331087095,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,low,0,1,1,0
1,97.6,alfa-romero,two,hatchback,rwd,front,94.5,0.8226814031715521,0.43333333333333357,-0.5422001787166465,2823.0,ohcv,six,152.0,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,low,0,1,1,0
2,164.0,audi,four,sedan,fwd,front,99.8,0.8486304661220567,0.49166666666666714,0.23536598332360822,2337.0,ohc,four,109.0,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,low,0,1,1,0
2,164.0,audi,four,sedan,4wd,front,99.4,0.8486304661220567,0.5083333333333341,0.23536598332360822,2824.0,ohc,five,136.0,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,low,0,1,1,0
2,97.6,audi,two,sedan,fwd,front,99.8,0.8519942335415667,0.5,-0.2557284348070776,2507.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,low,0,1,1,0
1,158.0,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9250000000000007,0.808309471142746,2844.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,low,0,1,1,0
1,97.6,audi,four,wagon,fwd,front,105.8,0.9259971167707832,0.9250000000000007,0.808309471142746,2954.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0,medium,0,1,1,0
1,158.0,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9250000000000007,0.8901585408311922,3086.0,ohc,five,131.0,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,medium,0,1,0,1
0,97.6,audi,two,hatchback,4wd,front,99.5,0.8563190773666506,0.6333333333333341,-0.7058983180935418,3053.0,ohc,five,131.0,mpfi,3.13,3.4,7.0,160.0,5500.0,16,22,12949.429268292683,low,0,1,0,1
2,192.0,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.375,0.23536598332360822,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,low,0,1,1,0
0,192.0,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.375,0.23536598332360822,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925.0,low,0,1,1,0
0,188.0,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.375,0.23536598332360822,2710.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0,medium,0,1,1,0
0,188.0,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.375,0.23536598332360822,2765.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,medium,0,1,1,0
1,97.6,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.5500000000000007,0.808309471142746,3055.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,medium,0,1,1,0
0,97.6,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.5500000000000007,0.808309471142746,3230.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0,medium,0,1,1,0
0,97.6,bmw,two,sedan,rwd,front,103.5,0.9312830370014417,0.6333333333333341,-0.010181225741733229,3380.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315.0,high,0,1,1,0
0,97.6,bmw,four,sedan,rwd,front,110.0,0.9466602594906295,0.8833333333333341,1.0538566802080875,3505.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0,high,0,1,1,0
2,121.0,chevrolet,two,hatchback,fwd,front,88.4,0.6780394041326285,0.0,-0.21480389996285304,1488.0,l,three,61.0,2bbl,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0,low,0,1,1,0
1,98.0,chevrolet,two,hatchback,fwd,front,94.5,0.7491590581451226,0.27500000000000036,-0.7058983180935418,1874.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0,low,0,1,1,0
0,81.0,chevrolet,four,sedan,fwd,front,94.5,0.7630946660259491,0.27500000000000036,-0.7058983180935418,1909.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0,low,0,1,1,0
1,118.0,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.1969927362242305,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.41,68.0,5500.0,37,41,5572.0,low,0,1,1,0
1,118.0,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.1969927362242305,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6377.0,low,0,1,1,0
1,118.0,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.1969927362242305,2128.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,low,0,1,0,1
1,148.0,dodge,four,hatchback,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.2788418059126767,1967.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,low,0,1,1,0
1,148.0,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.2788418059126767,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,low,0,1,1,0
1,148.0,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.2788418059126767,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0,low,0,1,1,0
1,148.0,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.2788418059126767,2191.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,8558.0,low,0,1,0,1
-1,110.0,dodge,four,wagon,fwd,front,103.3,0.8390197020663143,0.3583333333333331,2.486215399755926,2535.0,ohc,four,122.0,2bbl,3.34,3.46,8.5,88.0,5000.0,24,30,8921.0,low,0,1,1,0
3,145.0,dodge,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5,-1.442539945289572,2811.0,ohc,four,156.0,mfi,3.6,3.9,7.0,145.0,5000.0,19,24,12964.0,low,0,1,0,1
2,137.0,honda,two,hatchback,fwd,front,86.6,0.6948582412301778,0.3000000000000001,-1.1969927362242305,1713.0,ohc,four,92.0,1bbl,2.91,3.41,9.6,58.0,4800.0,49,54,6479.0,low,0,1,1,0
2,137.0,honda,two,hatchback,fwd,front,86.6,0.6948582412301778,0.3000000000000001,-1.1969927362242305,1819.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,31,38,6855.0,low,0,1,1,0
1,101.0,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.30833333333333357,-0.46035110902819737,1837.0,ohc,four,79.0,1bbl,2.91,3.07,10.1,60.0,5500.0,38,42,5399.0,low,0,1,1,0
1,101.0,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.30833333333333357,-0.46035110902819737,1940.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,6529.0,low,0,1,1,0
1,101.0,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.30833333333333357,-0.46035110902819737,1956.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7129.0,low,0,1,1,0
0,110.0,honda,four,sedan,fwd,front,96.5,0.7851994233541567,0.30833333333333357,0.3172150530120573,2010.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7295.0,low,0,1,1,0
0,78.0,honda,four,wagon,fwd,front,96.5,0.754925516578568,0.3000000000000001,1.8723473770925667,2024.0,ohc,four,92.0,1bbl,2.92,3.41,9.2,76.0,6000.0,30,34,7295.0,low,0,1,1,0
0,106.0,honda,two,hatchback,fwd,front,96.5,0.8049014896684287,0.4083333333333338,-0.1738793651186314,2236.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,7895.0,low,0,1,1,0
0,106.0,honda,two,hatchback,fwd,front,96.5,0.8049014896684287,0.4083333333333338,-0.1738793651186314,2289.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,9095.0,low,0,1,1,0
0,85.0,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.4083333333333338,0.15351691363516204,2304.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,8845.0,low,0,1,1,0
0,85.0,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.18333333333333357,0.15351691363516204,2372.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,10295.0,low,0,1,1,0
0,85.0,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.4083333333333338,0.15351691363516204,2465.0,ohc,four,110.0,mpfi,3.15,3.58,9.0,101.0,5800.0,24,28,12945.0,low,0,1,1,0
1,107.0,honda,two,sedan,fwd,front,96.5,0.8125901009130225,0.47500000000000026,-1.1151436665357815,2293.0,ohc,four,110.0,2bbl,3.15,3.58,9.1,100.0,5500.0,25,31,10345.0,low,0,1,1,0
0,97.6,isuzu,four,sedan,rwd,front,94.3,0.8202787121576165,0.125,-0.09203029543018232,2337.0,ohc,four,111.0,2bbl,3.31,3.23,8.5,78.0,4800.0,24,29,6785.0,low,0,1,1,0
1,97.6,isuzu,two,sedan,fwd,front,94.5,0.7491590581451226,0.27500000000000036,-0.7058983180935418,1874.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,12949.429268292683,low,0,1,1,0
0,97.6,isuzu,four,sedan,fwd,front,94.5,0.7491590581451226,0.27500000000000036,-0.7058983180935418,1909.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,12949.429268292683,low,0,1,1,0
2,97.6,isuzu,two,hatchback,rwd,front,96.0,0.8294089380105718,0.4083333333333338,-0.9514455271588861,2734.0,ohc,four,119.0,spfi,3.43,3.23,9.2,90.0,5000.0,24,29,11048.0,low,0,1,1,0
0,145.0,jaguar,four,sedan,rwd,front,113.0,0.9591542527630946,0.7749999999999998,-0.3785020393397512,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,32250.0,high,0,1,1,0
0,97.6,jaguar,four,sedan,rwd,front,113.0,0.9591542527630946,0.7749999999999998,-0.3785020393397512,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,35550.0,high,0,1,1,0
0,97.6,jaguar,two,sedan,rwd,front,102.0,0.921191734742912,0.8583333333333331,-2.4247287815509493,3950.0,ohcv,twelve,326.0,mpfi,3.54,2.76,11.5,262.0,5000.0,13,17,36000.0,high,0,1,1,0
1,104.0,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.32500000000000046,0.15351691363516204,1890.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,30,31,5195.0,low,0,1,1,0
1,104.0,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.32500000000000046,0.15351691363516204,1900.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0,low,0,1,1,0
1,104.0,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.32500000000000046,0.15351691363516204,1905.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6795.0,low,0,1,1,0
1,113.0,mazda,four,sedan,fwd,front,93.1,0.8015377222489188,0.32500000000000046,0.15351691363516204,1945.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6695.0,low,0,1,1,0
1,113.0,mazda,four,sedan,fwd,front,93.1,0.8015377222489188,0.32500000000000046,0.15351691363516204,1950.0,ohc,four,91.0,2bbl,3.08,3.15,9.0,68.0,5000.0,31,38,7395.0,low,0,1,1,0
3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.45000000000000046,-1.6880871543549163,2380.0,rotor,two,70.0,4bbl,3.264780487804878,3.19190243902439,9.4,101.0,6000.0,17,23,10945.0,low,0,1,1,0
3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.45000000000000046,-1.6880871543549163,2380.0,rotor,two,70.0,4bbl,3.264780487804878,3.19190243902439,9.4,101.0,6000.0,17,23,11845.0,low,0,1,1,0
3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.45000000000000046,-1.6880871543549163,2385.0,rotor,two,70.0,4bbl,3.264780487804878,3.19190243902439,9.4,101.0,6000.0,17,23,13645.0,low,0,1,1,0
3,150.0,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.45000000000000046,-1.6880871543549163,2500.0,rotor,two,80.0,mpfi,3.264780487804878,3.19190243902439,9.4,135.0,6000.0,16,23,15645.0,low,0,1,1,0
1,129.0,mazda,two,hatchback,fwd,front,98.8,0.8543969245555022,0.5166666666666669,-0.010181225741733229,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8845.0,low,0,1,1,0
0,115.0,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.5166666666666669,0.7264604014542969,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8495.0,low,0,1,1,0
1,129.0,mazda,two,hatchback,fwd,front,98.8,0.8543969245555022,0.5166666666666669,-0.010181225741733229,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10595.0,low,0,1,1,0
0,115.0,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.5166666666666669,0.7264604014542969,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10245.0,low,0,1,1,0
0,97.6,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.5166666666666669,0.7264604014542969,2443.0,ohc,four,122.0,idi,3.39,3.39,22.7,64.0,4650.0,36,42,10795.0,low,1,0,1,0
0,115.0,mazda,four,hatchback,fwd,front,98.8,0.8543969245555022,0.5166666666666669,0.7264604014542969,2425.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,11245.0,low,0,1,1,0
0,118.0,mazda,four,sedan,rwd,front,104.9,0.8409418548774628,0.4833333333333331,0.27629051816783273,2670.0,ohc,four,140.0,mpfi,3.76,3.16,8.0,120.0,5000.0,19,27,18280.0,low,0,1,1,0
0,97.6,mazda,four,sedan,rwd,front,104.9,0.8409418548774628,0.4833333333333331,0.27629051816783273,2700.0,ohc,four,134.0,idi,3.43,3.64,22.0,72.0,4200.0,31,39,18344.0,low,1,0,1,0
-1,93.0,mercedes-benz,four,sedan,rwd,front,110.0,0.9173474291206152,0.8333333333333334,1.1357057498965366,3515.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22,25,25552.0,medium,1,0,0,1
-1,93.0,mercedes-benz,four,wagon,rwd,front,110.0,0.9173474291206152,0.8333333333333334,2.0360455164694646,3750.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28248.0,medium,1,0,0,1
0,93.0,mercedes-benz,two,hardtop,rwd,front,106.7,0.9010091302258529,0.8333333333333334,0.4809131923889526,3495.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28176.0,medium,1,0,0,1
-1,93.0,mercedes-benz,four,sedan,rwd,front,115.6,0.9735703988467083,0.9500000000000005,1.0538566802080875,3770.0,ohc,five,183.0,idi,3.58,3.64,21.5,123.0,4350.0,22,25,31600.0,medium,1,0,0,1
-1,97.6,mercedes-benz,four,sedan,rwd,front,115.6,0.9735703988467083,0.9500000000000005,1.1357057498965366,3740.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,34184.0,high,0,1,1,0
3,142.0,mercedes-benz,two,convertible,rwd,front,96.6,0.8664103796251803,0.8500000000000002,-1.1969927362242305,3685.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,35056.0,high,0,1,1,0
0,97.6,mercedes-benz,four,sedan,rwd,front,120.9,1.0,0.9500000000000005,1.2175548195849857,3900.0,ohcv,eight,308.0,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,40960.0,high,0,1,1,0
1,97.6,mercedes-benz,two,hardtop,rwd,front,112.0,0.9572320999519461,0.9750000000000002,0.6855358666100724,3715.0,ohcv,eight,304.0,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,45400.0,high,0,1,1,0
1,97.6,mercury,two,hatchback,rwd,front,102.7,0.857280153772225,0.6416666666666669,0.43998865754472805,2910.0,ohc,four,140.0,mpfi,3.78,3.12,8.0,175.0,5000.0,19,24,16503.0,low,0,1,0,1
2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.3416666666666674,-1.1969927362242305,1918.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5389.0,low,0,1,1,0
2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.3416666666666674,-1.1969927362242305,1944.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189.0,low,0,1,1,0
2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.3416666666666674,-1.1969927362242305,2004.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669.0,low,0,1,1,0
1,161.0,mitsubishi,two,hatchback,fwd,front,93.0,0.7558865929841423,0.2916666666666667,-1.1969927362242305,2145.0,ohc,four,98.0,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689.0,low,0,1,0,1
3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,0.8313310908217203,0.4250000000000007,-1.7699362240433654,2370.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959.0,low,0,1,0,1
3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,0.8313310908217203,0.4250000000000007,-1.7699362240433654,2328.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8499.0,low,0,1,1,0
3,97.6,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5,-1.442539945289572,2833.0,ohc,four,156.0,spdi,3.58,3.86,7.0,145.0,5000.0,19,24,12629.0,low,0,1,0,1
3,97.6,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5,-1.442539945289572,2921.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14869.0,low,0,1,0,1
3,97.6,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5,-1.442539945289572,2926.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14489.0,low,0,1,0,1
1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.4250000000000007,-0.869596457470437,2365.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,6989.0,low,0,1,1,0
1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.4250000000000007,-0.869596457470437,2405.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8189.0,low,0,1,1,0
1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.4250000000000007,-0.869596457470437,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,low,0,1,0,1
-1,137.0,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.4250000000000007,-0.869596457470437,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,low,0,1,1,0
1,128.0,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.2916666666666667,0.3172150530120573,1889.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,5499.0,low,0,1,1,0
1,128.0,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.2916666666666667,0.3172150530120573,2017.0,ohc,four,103.0,idi,2.99,3.47,21.9,55.0,4800.0,45,50,7099.0,low,1,0,1,0
1,128.0,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.2916666666666667,0.3172150530120573,1918.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6649.0,low,0,1,1,0
1,122.0,nissan,four,sedan,fwd,front,94.5,0.794329649207112,0.2916666666666667,0.3172150530120573,1938.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849.0,low,0,1,1,0
1,103.0,nissan,four,wagon,fwd,front,94.5,0.8178760211436809,0.2916666666666667,-0.09203029543018232,2024.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349.0,low,0,1,1,0
1,128.0,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.2916666666666667,0.3172150530120573,1951.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299.0,low,0,1,1,0
1,128.0,nissan,two,hatchback,fwd,front,94.5,0.7957712638154734,0.2916666666666667,-0.1738793651186314,2028.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7799.0,low,0,1,1,0
1,122.0,nissan,four,sedan,fwd,front,94.5,0.794329649207112,0.2916666666666667,0.3172150530120573,1971.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499.0,low,0,1,1,0
1,103.0,nissan,four,wagon,fwd,front,94.5,0.8178760211436809,0.2916666666666667,-0.09203029543018232,2037.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7999.0,low,0,1,1,0
2,168.0,nissan,two,hardtop,fwd,front,95.1,0.7803940413262855,0.2916666666666667,-0.1738793651186314,2008.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,8249.0,low,0,1,1,0
0,106.0,nissan,four,hatchback,fwd,front,97.2,0.8332532436328689,0.4083333333333338,0.3990641227005064,2324.0,ohc,four,120.0,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,8949.0,low,0,1,1,0
0,106.0,nissan,four,sedan,fwd,front,97.2,0.8332532436328689,0.4083333333333338,0.3990641227005064,2302.0,ohc,four,120.0,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,9549.0,low,0,1,1,0
